Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,22.210667,22.98,22.146667,22.582001,22.582001,8172.9
2018-11-14,22.846666,23.140667,22.476667,22.933332,22.933332,7560.45
2018-11-15,22.822001,23.238667,22.602667,23.229334,23.229334,6938.55
2018-11-16,23.012667,23.713333,23.007999,23.620667,23.620667,10809.3
2018-11-19,23.756001,24.450001,23.525333,23.564667,23.564667,14563.35
2018-11-20,22.783333,23.32,22.236668,23.166,23.166,12007.05
2018-11-21,23.466667,23.540001,22.493334,22.546,22.546,7030.2
2018-11-23,22.290001,22.5,21.703333,21.722,21.722,6303.9
2018-11-26,21.666668,23.081333,21.666668,23.066668,23.066668,11988.15
2018-11-27,22.67,23.130667,22.366667,22.927999,22.927999,9537.45
2018-11-28,23.066,23.218666,22.813999,23.191334,23.191334,6191.4
2018-11-29,23.133333,23.166668,22.636667,22.744667,22.744667,4621.05
2018-11-30,22.788668,23.440001,22.550667,23.365334,23.365334,8443.65
2018-12-03,24.0,24.4,23.466667,23.899332,23.899332,12459.75
2018-12-04,23.736668,24.578667,23.466667,23.98,23.98,12692.85
2018-12-06,23.733999,24.492001,23.384001,24.204,24.204,11763.75
2018-12-07,24.6,25.299334,23.843332,23.864668,23.864668,17266.8
2018-12-10,24.0,24.398666,23.541332,24.343332,24.343332,9920.25
2018-12-11,24.660667,24.811333,24.015333,24.450666,24.450666,9463.2
2018-12-12,24.628,24.794001,24.344,24.440001,24.440001,7540.5
2018-12-13,24.676666,25.162666,24.450001,25.119333,25.119333,11048.85
2018-12-14,25.0,25.191334,24.288668,24.380667,24.380667,9506.4
2018-12-17,24.133333,24.379999,22.925333,23.228001,23.228001,11511.0
2018-12-18,23.369333,23.436666,22.246,22.468666,22.468666,10650.0
2018-12-19,22.506666,23.134001,21.982668,22.198,22.198,12411.3
2018-12-20,21.803333,22.019333,20.791332,21.025333,21.025333,13607.85
2018-12-21,21.16,21.564667,20.829332,21.318001,21.318001,12025.2
2018-12-24,20.9,20.966667,19.68,19.692667,19.692667,8339.85
2018-12-26,20.0,21.798,19.606001,21.739332,21.739332,12244.65
2018-12-27,21.322666,21.478001,20.1,21.075333,21.075333,12862.65
2018-12-28,21.540001,22.416,21.227333,22.257999,22.257999,14908.5
2018-12-31,22.519333,22.614,21.684,22.186666,22.186666,9453.45
2019-01-02,20.406668,21.008667,19.92,20.674667,20.674667,17487.9
2019-01-03,20.466667,20.626667,19.825333,20.024,20.024,10447.8
2019-01-04,20.4,21.200001,20.181999,21.179333,21.179333,11091.15
2019-01-07,21.448,22.449333,21.183332,22.330667,22.330667,11326.8
2019-01-08,22.797333,22.934,21.801332,22.356667,22.356667,10512.75
2019-01-09,22.366667,22.9,22.098,22.568666,22.568666,8149.35
